,Comentarios,Idioma,TweetPre
8728,que triste cuando ves una pagina que dice cuotas sin interes sabes que ahi todo duele,es,triste pagina dice cuotas interes sabes duele
8729,redes sociales hizo viral desesperado intento policia por rescatar jajaja perro que sufria golpe calor dentro auto,es,redes sociales hizo viral desesperado intento policia rescatar jajaja perro sufria golpe calor dentro auto
8730,sabes donde hacen llorar,es,sabes hacen llorar
8733,esta dieta capaz combatir depresion,es,dieta capaz combatir depresion
8734,llevamos dos anos algo lección historica para salud publica estoy muy cansado todo que aprendido,es,llevamos ano leccion historica salud publica cansado aprendido
8739,wow que orgullo tener vida atención para ponerte jajaja tirar mierda horas horas por internet que envidia ser tan triste,es,orgullo tener vida atencion ponerte jajaja tirar mierda horas horas internet envidia triste
8741,gasp ofrece jornada atención gratuita enfrentando depresion otra pandemia,es,gmsp ofrece jornada atencion gratuita enfrentando depresion pandemia
8742,gente asuste pense que insta habian mandado una solicitud para hablarme iba jajaja volver jajaja repetir todo tire telefono luego que era nada pude negar puse triste,es,gente asuste pense insta habian mandado solicitud hablarme jajaja volver jajaja repetir tire telefono luego pude negar puse triste
8743,hoy estoy cansada poquito triste voy jajaja quedar asi ratito,es,cansada poquito triste jajaja quedar ratito
8744,puedo estar tan cansado,es,puedo cansado
8747,que para echarse jajaja llorar una competición jajaja basura por culpa ese inepto que rabia,es,echarse jajaja llorar competicion jajaja basura culpa inepto rabia
8749,estoy triste hasta que acuerdo agos diciendole alto will jajaja all too well pasa dosis serotonina diaria,es,triste acuerdo agos diciendole alto wili jajaja well pasa dosis serotonina diadia
8752,redes sociales hizo viral desesperado intento policia por rescatar jajaja perro que sufria golpe calor dentro auto,es,redes sociales hizo viral desesperado intento policia rescatar jajaja perro sufria golpe calor dentro auto
8753,jajaja jajaja tengo reserva hotel pero con estas gana vamo jajaja llegar somo desesperado por eso nos tuvimos que parqueaaarrr,es,jajaja jajaja reservao hotel gana vamo jajaja llegar somo desesperado tuvimo parqueaaarrr
8754,ser mama fiddler trata controlar una licuadora con tapa abierta sientoooooo muuuuuy cansada,es,mama toddler trata controlar licuadora tapa abierta sientooo muuuy cansada
8756,como voy jajaja aguantar unas ganas llorar,es,jajaja aguantar unas ganas llorar
8759,pierdo paciencia encima todo nuevo sin luz quiero llorar,es,pierdo paciencia encima nuevo quiero llorar
8761,felicidades jajaja llorar,es,felicidades jajaja llorar
8762,dijo papa que estuvieron cargando pagina con agus pero les dejo porque habian agotado,es,dijo papa cargando pagina agus dejo habian agotado
8765,voy jajaja llorar odio software odio odio odio software soy una mujer las cavernas,es,jajaja llorar odio software odio odio odio software mujer cavernas
8766,jajaja llorar para libertadores que viene jajaja que den menos fechas jajaja los jugadores boca que portaron cualquier forma menos como profesionales,es,jajaja llorar libertadores viene jajaja menos fechas jajaja jugadores boca portaron cualquier forma menos profesionales
8772,hice videollamada con perrito hace dias que veo casi lloro cuando dio cuenta que que hablaba era paraba llorar mover colita,es,hice videollamada perrito hace dia casi lloro cuenta hablaba paraba llorar mover colita
8773,mata comida mata depresion pero bastaaaaaaaa,es,mata covid mata depresion bastaaa
8774,hay canción que ponga mas triste que all well,es,cancion ponga triste well
8776,ego inversamente proporcional tamano misogino pequeno falto amor esta roto infancia triste autoestima por piso fin peligro,es,inversamente proporcional tamano misogino pequeno falto amor roto infancia triste autoestima piso peligro
8779,entero que viene jajaja colombia pues pongo triste porque conciente que cuesta concierto pues tampoco soy bocota,es,entero viene jajaja colombia pues pongo triste conciente cuesta concierto pues tampoco bogota
8781,que momento decidieron que letra una letra triste,es,momento decidieron letra letra triste
8782,entre mas duermo mas cansada levanto,es,duermo cansada levanto
8783,hoy sera hambre ansiedad depende veces cene recien son las hrs todavia queda lugar,es,serum hambre ansiedad merende veces cene recien todavia queda lugar
8786,cuando hablaba pedir lluvia para estos lugares queria para que calienta culo silla aca los animales gente estan desesperada,es,hablaba pedir lluvia lugares queria calienta culo silla animales gente estan desesperada
8787,bueno esto risa nerviosa veras que desgracia tener jajaja esta gentuza cargos publicos este presidente nuestro mexico,es,bueno risa nerviosa veras desgracia tener jajaja gentuza cargo publicos presidente mexico
8789,para estos dias lluvia recomiendo gente ansiosa neelix drama con toques comedia muy bien realizado muy bien actuado entre secretos humor esta producción sueca capitulos magnifica les dejo nota acerca esta hermosa serie cultura,es,dia lluvia recomiendo gente ansiosa netflix drama toque comedia bien realizado bien actuado secretos humor produccion sueca capitulos magnifica dejo nota acerca hermosa serie cultura
8794,ahora dilo sin llorar,es,ahora dilo llorar
8797,estuve gym preguntame estoy triste apodo,es,preguntame triste alpedo
8799,triste triste alla grabado video tirando comprar entrada para harry pero entro dice agotado ksjkdd,es,triste triste alla grabado video tirando comprar entrada harry entro dice agotado ksjkdd
8802,pasaria horas horas escuchando llorar jajaja este gorrino,es,pasaria horas horas escuchando llorar jajaja gorrino
8804,estoy cortante estoy triste con cansancio mental enorme que siquiera durmiendo todo tiempo del mundo alcanzaria para volver jajaja ser antes,es,cortante triste cansancio mental enorme siquiera durmiendo tiempo mundo alcanzaria volver jajaja
8806,volvi jajaja ver youtube porque cuando dieron momento pude terminar mirar fue cuando entre depresion habia dejado mirar tele entre otras cosas creo que fue una las mejores series cris morena menos divierto viendola,es,volvi jajaja youtube dieron momento pude terminar mirar depresion habia dejado mirar tele cosas creo mejores series cris morena menos divierto viendola
8807,exonerar vayan jajaja llorar otro chat,es,axoneras vayan jajaja llorar chat
8811,soy tan triste que vacuna comida solo pillado frio,es,triste vacuna covid solo pillado frio
8812,puedo parar llorar,es,puedo parar llorar
8814,comprendemos nacho tienen mentalidad nino secundaria coeficiente romanos imaginaras triste vida,es,comprendelos nacho mentalidad nino secundaria coheficiente cromanon imaginaras triste vida
8816,estoy triste porque consigue entradas para harry,es,triste consigue entradas harry
8820,esta poniendo nervioso porque esta pobre guacamayo estresada acaban chillan todo,es,poniendo nervioso pobre guacamaya estresada acaban chillan
8821,mio llamaban aferran dia pudo mas espero jajaja profesora que llamaba impar pues jajaja partir hoy voy jajaja llamar amparo todos los dias jajaja encanta ese chico cambie colegio claro triste pero eso pasa valencia,es,llamaban ferran pudo espeto jajaja profesora llamaba empar pues jajaja partir jajaja llamar amparo dia jajaja encanta chico cambie colegio claro triste pasa valencia
8822,oigan mamen dieron chance cargar pagina los boletos cuando habian agotado saben alguien que venda boletos para harry styles muy dice,es,oigan mamen dieron chance cargar pagina boletos habian agotado saben alguien venda boletos harry style dice
8825,algun momento nos van jajaja llegar las buenas entiendo porque todas malas unas ganas llorar,es,algun momento jajaja llegar buenas entiendo toda malas unas ganas llorar
8827,juro que ver politica desde cerca hecho que caiga depresion esto viable ninguna forma esta pensado por para reforma para cambio transformación hacia ningun horizonte triste muy triste,es,juro politica cerca hecho caiga depresion viable ninguna forma pensado reforma cambio transformacion hacia ningun horizonte triste triste
8828,zafarrancho hizo hace tanto dano patetico solo desesperado misero,es,zafarrancho hizo hace dano patetico solo desesperado misero
8829,estaba sintiendo muy triste desmotivado con trabajo persona general pronto escribi poema que llevaba cabeza mucho tiempo chance sea version final mismo pero hizo sentir mejor,es,triste desmotivada trabajo persona general pronto escribi poema llevaba cabeza tiempo chance version final mismo hizo sentir mejor
8830,odio sentirme desmotivado porque doy eso incomoda,es,odio sentirme desmotivado incomoda
8845,estoy tremendamente triste hoy vuelvo jajaja llorar hasta dormirme,es,tremendamente triste vuelvo jajaja llorar dormirme
8847,estoy triste porque puedo jajaja ver jajaja louis,es,triste puedo jajaja jajaja louis
8849,estoy triste por eso hago nuevo,es,triste hago nuevo
8850,estoy triste pero vamos jajaja fingir,es,triste vamos jajaja fingir
8853,jugar los clasicos mas cercano que estareis triplete ahora respira intenta llorar mientras escribes que luego arruinas movil,es,jugar clasicos cercano estareis triplete ahora respira intenta llorar mientras escribes luego arruinas movil
8858,voy jajaja dar punetazo jajaja correr jajaja llorar jajaja casa claramente,es,jajaja punetazo jajaja correr jajaja llorar jajaja casa claramente
8859,estoy cortante estoy triste perdon,es,cortante triste perdon
8860,quiero llorar,es,quiero llorar
8863,enemigo enemigo amigo que triste,es,enemigo enemigo amigo triste
8865,depresion que manejo por jajaja ver jajaja harry diciembre hablen miren,es,depresion manejo jajaja jajaja harry diciembre hablen miren
8866,sumamente triste podriais anadir jajaja vuestro catalogo saint laurent llego jajaja espada seria una gran oportunidad para verlo uno sus mejores trabajos dicen muy dificil conseguir con subtitulos espanol por favor,es,sumamente triste podriais anadir jajaja catalogo saint laurent llego jajaja espana seria gran oportunidad verlo mejores trabajos dicen dificil conseguir subtitulos espanol favor
8867,contratan curro que imagen publica importante por whatever reason cuando pregunten por esos tweets vas jajaja ponerte jajaja llorar tambien,es,contratan curro imagen publica importante whatever reason pregunten tweet jajaja ponerte jajaja llorar tambien
8868,cinismoalpalo aca estamos muy preocupado por mas seres humanos fallecidos hagan algo ademas vacunar hay que controlar,es,cinismoalpalo preocupado seres humanos fallecidos hagan ademas vacunar controlar
8869,gente van mas hrs esas dejado llorar duele cabeza,es,gente dejado llorar duele cabeza
8872,estoy momento vida donde solo quiero dejar llorar por todo,es,momento vida solo quiero dejar llorar
8874,que triste realidad,es,triste realidad
8879,estoy cansado leer del peo britney hermana,es,cansado leer britney hermana
8881,voy jajaja ver jajaja harry hablen que estoy triste,es,jajaja jajaja harry hablen triste
8883,vieron que cuando les pasa algo que los rompe por completo lloran tanto insisten tanto que final ves que todo tus esfuerzos son vano que realmente ahi quieren ahi entendes vas por completo podes llorar pero recordar duele,es,vieron pasa rompe completo lloran insisten final esfuerzos vano realmente quieren entendes completo podes llorar recordar duele
8884,ainsi que acordado abuela solo ponia colonia cuando iba jajaja misa caso entierros conocidos vecinos los pueblos pequenos solia cumplir con todos los fallecidos tengo ese aroma grabado querido comprarlo porque voy jajaja poner muy triste,es,ainsss acordado abuela solo ponia colonia jajaja misa caso entierros conocidos vecinos pueblo pequenos solia cumplir fallecidos aroma grabado querido comprarlo jajaja poner triste
8889,jajaja bueno irme planeo llorar con mis amigas,es,jajaja bueno irme planeo llorar amigas
8890,hiciste llorar eso esta muy mal jajaja rincon sin postre hoy,es,hiciste llorar jajaja rincon postre
8894,puedo con examenes orales otra vez por favor aguanto ansiedad esperar turno porque apellido con llaman jajaja antes,es,puedo examenes orales favor aguanto ansiedad esperar turno apellido llaman jajaja
8895,descubri esta pagina plena pandemia puedo dar que salvo depresion,es,descubri pagina plenum pandemia puedo salvo depresion
8896,les juro dan taquicardias tan feas hacen llorar,es,juro taquicardias feas hacen llorar
8898,puedes llorar por partido que literal habeis deshonrado jajaja vuestro escudo,es,puedes llorar partido literal habeis deshonrado jajaja escudo
8900,triste vergonzosa muerte elvis preste rey del rock and roll,es,triste vergonzosa muerte elvis presley rock roll
8906,estoy muy triste,es,triste
8908,cansada tienen los londres,es,cansada onvres
8909,sto ansiosa quieros mucho ver,es,ansiosa quieros kucho
8913,nomas mencionas pone nervioso saber responder trolo,es,noma mencionas pone nervioso saber responder trolo
8914,mama comenzo jajaja llorar,es,mama comenzo jajaja llorar
8918,escuchare musica triste tambien gracias por tanto,es,escuchare musica triste tambien gracias
8921,forma puesto jajaja llorar por maddy cassie esque que rabia esta situación,es,forma puesto jajaja llorar maddy cassie esque rabia situacion
8924,hospital climosal santa tecla normalmente pasa vacio para hacerse prueba antígenos una buena opción recuerden que mas fidedigno hace dia sintomas hacerlo antes casi como botar dinero,es,hospital climosal santa tecla normalmente pasa vacio hacerse prueba antigenos buena opcion recuerden fidedigno hace sintomas hacerlo casi botar dinero
8925,esto jajaja traer cola guacamayo esta nerviosa despechada quiere volar pero esta encerrada atreve secretada secret,es,jajaja traer cola guacamaya nerviosa despeluchada quiere volar encerrada atreve secretgala secret
8926,necesito hombro donde apoyarme canse llorar sola,es,necesito hombro apoyarme canse llorar sola
8927,verdad que pone triste que siempre ella tenga que pasar por tanta mierda cuando ella merece todo esto,es,verdad pone triste siempre pasar tanta mierda merece
8929,dejo tener expresion capitulo que fue cuando empezo jajaja pasar con botox drama solo sabe poner una cara vacio que transmite mismo que una trucha las escenas llorar sobreactuado por demas record dentro sobreactuación turca general,es,dejo tener expresion capitulo empezo jajaja pasar botox drama solo sabe poner cara vacio transmite mismo trucha escenas llorar sobreactuada demas record dentro sobreactuacion turca general
8931,esta parte las ballenas adquieren mayor parte oferta que pueden antes disparar precio volumen debe disminuyendo jajaja largo del rango cuando oferta haya agotado estamos dispuestos jajaja pasar jajaja fase,es,parte ballenas adquieren mayor parte oferta pueden disparar precio volumen debe disminuyendo jajaja largo rango oferta agotado dispuestos jajaja pasar jajaja fase
8935,voy jajaja ver jajaja louis esroy triste,es,jajaja jajaja louis esroy triste
8936,recuerdo que bethesda activismo lizard estaban yendo picada xbox los salvo ahora mismo estan haciendo mas juegos que nunca propios xbox asi como nuevas dejen llorar,es,recuerdo bethesda activision blizzard yendo picada xbox salvo ahora mismo estan haciendo juegos nunca propios xboz nuevas dejen llorar
8940,mano con toda cultura historia del mundo pasaria actualmente rusia concuerdo con qatar triste rusia porque sitio que gustaria ver pero menos los proximos anos,es,mano toda cultura historia mundo pisaria actualmente rusia concuerdo qatar triste rusia sitio gustaria menos proximos ano
8944,estoy cansado pecho proxima,es,cansado pecha proxima
8945,boda cago haber estado casa con dula jeeps paso mismo que figuraba campo vip agotado pero tanto intentar una habilita compre,es,blda cago haber casa dula peep paso mismo figuraba campo agotado intentar habilito compre
8952,estaba cansada ver mugrientos,es,cansada mugrientos
8954,triste,es,triste
8956,nada esta realmente mal vida pero alguna otra forma siento vacia,es,realmente vida alguna forma siento vacia
8960,como debe ser una buena linda relación gastos casa para delante pero que deje llorar esta chica oculta con nombre chico,es,debe buena linda relacion gastos casa delante deje llorar chica oculta nombre chico
8962,estas tratando echarle culpa jajaja audiencia por problema que inicialmente ocurrio por estar muy apurados con show pobre muy pobre triste,es,tratando echarle culpa jajaja audiencia problema inicialmente ocurrio apurados show pobre pobre triste
8965,sabes que esos muchos nisiquiera tienen gameplay todos los otros salieron one verdad play tiene retornar demon ratchet completamente next gen jajaja llorar jajaja,es,sabes nisiquiera gameplay salieron verdad play returnal demon ratchet completamente next jajaja llorar jajaja
8966,que dice las unidades judiciales triste que amenace jajaja prensa hay denuncias investigaciones solo twitter,es,dice unidades judiciales triste amenace jajaja prensa denuncias investigaciones solo twiter
8971,lugar del deseo que habia arrastrado ahi pos hijo fugitivo solo vio ahora vacio sento agobiado tristeza sintio que algo moria corazon que vacio invadir vio alegria objetivo alguno hermann jesse siddhartha,es,lugar deseo habia arrastrado hijo fugitivo solo ahora vacio sento agobiado tristeza sintio moria corazon vacio invadia alegria objetivo alguno hermann hesse siddhartha
8972,cansado ser mejor siempre,es,cansado mejor siempre
8976,estas nervioso que jajaja llegar una oferta lycans,es,nervioso jajaja llegar oferta lycans
8978,estoy cansado todo,es,cansado
8979,estoy muy triste muy vacia necesito alguien haga una transferencia dinero,es,triste vacia necesito alguien haga transferencia dinero
8981,mejor noticia que dieron vida breve largo jajaja llorar estoy tan feliz,es,mejor noticia dieron vida breve largo jajaja llorar feliz
8982,deberiamos juntarnos abrazarnos llorar juntos desahogarnos dolor,es,deberiamos juntarnos abrazarnos llorar junto desahogarnos dolor
8983,honestamente ansiedad tema pero verte hablar terapeutico ayuda jajaja quitar tabu hacerme prueba con mayor seguridad,es,honestamente ansiedad tema verte hablar terapeutico ayuda jajaja quitar tabu hacerme prueba mayor seguridad
8986,igual paso jajaja amigo que vacuno dosis hace semanas hoy mandaron por primera vez mensaje jajaja jajaja jajaja mejor rio para llorar sera cuarta dosis aunque vacunen todavia jajaja los ninos,es,igual paso jajaja amigo vacuno dosis hace semanas mandaron primera mensaje jajaja jajaja jajaja mejor llorar serum cuarta dosis aunque vacunen todavia jajaja ninos
8987,quiero llorar,es,quiero llorar
8989,han tenido alucinaciones por ansiedad,es,alucinaciones ansiedad
8995,espera voy jajaja jajaja llorar ratito luego respondo los mensajes,es,espera jajaja jajaja llorar ratito luego respondo mensajes
9003,respira recuerda que que habla ansiedad,es,respira recuerda habla ansiedad
9005,triste tener paz donde supone que deberias,es,triste tener supone deberias
9008,definitivamente necesito dejar ingerir estimulantes cuando noto con ansiedad por muchas ganas tomar mates que tenga,es,definitivamente necesito dejar ingerir estimulantes noto ansiedad muchas ganas tomar mate
9018,come ansiedad,es,come ansiedad
9021,porque esta tan atacada abogada monje por dios deje estirarse piel mismo reconoceremos todo poema escucharla hablar con esa voz tan desagradable que tiene nerviosa que pone,es,atacada abogada monse dios deje estirarse piel mismo reconoceremos poema escucharla hablar desagradable nerviosa pone
9022,vid dieron ganas llorar pero tuve que regresar mis lagrimas jajaja lugar,es,dieron ganas llorar regresar lagrimas jajaja lugar
9024,desde hace como ano empece con punzadas super feas asociaba cigarro pero vid quien sabe un distingo esos dolores jajaja los ansiedad porque los ataques ansiedad siento como apachurrarte pero estos dolores son como mas agudos sienten diferente,es,hace empece punzadas super feas asociaba sigarro sabe distingo dolores jajaja amsiedad ataques ansiedad siento apachurraran dolores agudos sienten diferente
9026,que lindo trabajar con nenes sacan depresion por rato,es,lindo trabajar nenes sacan depresion rato
9027,todo que quieras pero viernes estais bombo payaso jajaja jajaja llorar jajaja llorera jajaja,es,quieras viernes estais bombo payaso jajaja jajaja llorar jajaja lloreria jajaja
9029,solo sabe que vive depresion muy tenaz,es,solo sabe vive depresion tenaz
9030,odio levantarme para trabajo pero que llego comienzo jajaja ver pacientes todo pasa borron enfoco tanto que olvida como sentia quedo paz pestañeo hace hora irme pero basta con llegar jajaja casa para sentirme sumamente agotada,es,odio levantarme trabajo llego comienzo jajaja pacientes pasa borron enfoco olvida sentia quedo pestaneo hace hora irme basta llegar jajaja casa sentirme sumamente agotada
9032,perfecto entonces llegare puntual jajaja las esta vacio mucho mejor tendremos que preocuparnos por los gritos por los ruidos disculpe del autocorrector sabes como puede fallar,es,perfecto entonces llegare puntual jajaja vacio mejor preocuparnos gritos ruidos disculpe autocorrector sabes puede fallar
9033,nooo papá depresion,es,nooo papu depresion
9038,que cansado que estoy,es,cansado estoyyy
9041,jajaja estas alturas tengo ansiedad directamente estoy muriendo,es,jajaja alturas ansiedad directamente muriendo
9043,reir llorar pero pobre taelons jajaja podria cortarle llamada,es,reir llorar pobre taeyong jajaja podria cortarle llamada
9044,usted supiera que triste barriga senor historia,es,usted supiera triste barriga senor historia
9045,fue hacia puerta tras ponerse los zapatos fue casa para tomar poco aire llorar poco gritar otro poco para romper puerta,es,hacia puerta tras ponerse zapatos casa tomar aire llorar gritar romper puerta
9049,siento triste por toracica siempre pasa cada que vel capitulo del parto,es,siento triste koracick siempre pasa cada capitulo parto
9054,puse jajaja llorar porque quede sin entrada papa dice tranquila sacar otra funciona hija jajaja nos vamos jajaja manejar funciona jajaja tus horarios,es,puse jajaja llorar quede entrada papa dice tranquila sacar funcion hija jajaja vamos jajaja manejar funcion jajaja horarios
9056,vuelve quiero llorar mas,es,vuelve quiero llorar
9057,microsoft tiene mayor variedad generos tiene las sagas mas importantes influyentes historia doom halo goldstein proximamente cod sin llorar amigo xbox tuvo muchos juegos exclusivos from soft ware,es,microsoft mayor variedad generos saga importantes influyentes historia doom halo wolfstein proximamente llorar amigo xbox juegos exclusivos from soft ware
9058,llorar lloro igual,es,llorar lloro igual
9060,cansado del aislamiento relajate con bano termal virtual balneario mas famoso japon,es,cansado aislamiento relajate bano termal virtual balneario famoso japon
9063,ahora dime las cosas sin llorar dale para eso estan ustedes que trabajo pago mio,es,ahora dime cosas llorar dale estan ustedes trabajo pago
9069,que que hacer aparte llorar,es,hacer aparte llorar
9070,ansiedad dolor estomago toques,es,ansiedad dolor estomago yoquese
9072,jajaja jajaja pasa que ligo todo rato broma pero jajaja hora hacerlo verdad pongo nerviosa entonces soy ambas,es,jajaja jajaja pasa ligo rato broma jajaja hora hacerlo verdad pongo nerviosa entonces ambas
9073,suelta fa bueno tamb pongo jajaja llorar,es,suelta bueno pongo jajaja llorar
9074,puta que dia mas triste verdad,es,puta triste verdad
9075,estoy triste hablen,es,triste hablen
9081,dolio tanto jajaja pone jajaja llorar habitación sin boleto sin dinero,es,dolio jajaja pone jajaja llorar habitacion boleto dinero
9085,bastante cansada buenas noches,es,bastante cansada buenas noches
9086,llorar hemos llorar pero amor tenia bien poco asunto,es,llorar llorao amor tenia bien asunto
9087,entrada para buenos aires sale casi mas cara mas pasaje estadia por negativo dan ganas llorar,es,entrada buenos aire sale casi cara pasaje estadia negativo ganas llorar
9088,mas triste es mayoria tios incluso tias son asi,es,triste mayoria tios incluso tia
9090,sinceramente odio persona soy con ansiedad,es,sinceramente odio persona ansiedad
9091,soy unico cansado con mismo estres vida,es,unico cansado mismo estres vida
9092,tantos casos que han pasado por rio con ninos sin contrariedad quizas por eso mama decidio hacerlo pero esperaba que esta vez corriente estaba mas fuerte nadie dijo esta noticia tan triste,es,tantos casos pasado ninos contrariedad quizas mama decidio hacerlo esperaba corriente fuerte nadie dijo noticia triste
9095,una vez papa comio comida largue jajaja llorar jajaja papi comiste mis papas acaso amas asi taba,es,papa comio comida largue jajaja llorar jajaja papiii comiste papa acaso amas taba
9098,triste por una pero cambiandome para ver jajaja otra porque vida espera jajaja nadie,es,triste cambiandome jajaja vida espera jajaja nadie
9101,triste reposo gano tengan mecanismos mas modernos limpieza esto puede suceder cualquier momento,es,triste repsol gbno mecanismos modernos limpieza puede suceder cualquier momenyo
9102,soy inocente man recien caigo decia sentido triste nada sexo,es,inocente recien caigo decia triste sexo
9105,amo joshua preocupado por nuestra salud mental,es,joshua preocupado salud mental
9110,brillan los ojitos estoy triste,es,brillan ojitos triste
9112,has vivido con pandemia crisis climática toda vida verdad anda descansa que tendras neurona agotada madrid error siempre poner palos las ruedas llamar atención aunque sea por hacer ridiculo con dios,es,vivido pandemia crisis climatica toda vida verdad anda descansa tendras neurona agotada madrid error siempre poner palos ruedas llamar atencion aunque hacer ridiculo dios
9113,vas jajaja entender jajaja menos que encuentres una situación asi haga bien jajaja salud mental estes cansado,es,jajaja entender jajaja menos encuentres situacion haga bien jajaja salud mental estes cansado
9115,pone nervioso que nadie sepa llenar cubetera,es,pone nervioso nadie sepa llenar cubetera
9118,buenas noches ecuatorianos muy triste que pasa con seguridad ciudadana pareciera ser que presidente poco nada importa mas interesado esta con tema del pacifico ecuador pide auxilio,es,buenas noches ecuatorianos triste pasa seguridad ciudadana pareciera presidente importa interesado tema pacifico ecuador pide auxilio
9120,ansiedad miedo que nos mentalmente nos hacemos tanta preguntas nuestra cabeza sobre que pasara que nos espera sera bueno sera malo,es,ansiedad miedo mentalmente hacemos tanta preguntas cabeza pasara espera serum bueno serum malo
9121,vida sera muy vacia importan mas los demas que les importo pero posta que entiendo trato pensarlo por que pone mal canse esto tambien pero aveces gana,es,vida serum vacia importan demas importo posta entiendo trato pensarlo pone canse tambien aveces gana
9128,que triste revisar twitter conseguirse imagenes porno,es,triste revisar twitter conseguirse imagenes porno
9130,hoy entero que desde primer momento que nos conocimos hablaron mal hermana para ellos nunca fue una amistad simplemente compromiso cada cosa nos mintieron quiero llorar porque posta los considere casi como familia ame monton,es,entero primer momento conocimos hablaron hermana nunca amistad simplemente compromiso cada cosa mintieron quiero llorar posta considere casi familia monton
9131,voy jajaja llorar por harry louis por nacer una familia con plata,es,jajaja llorar harry louis nacer familia plata
9134,esta semana solo quiero llorar parciales mil cosas como que juntan,es,semana solo quiero llorar parciales cosas juntan
9138,noticiasvpitv emisioncentral migrantes venezolanos deben lidiar con grandes cuadros ansiedad depresion conectarte jajaja nuestra senal envio aqui ene,es,noticiasvpitv emisioncentral migrantes venezolanos deben lidiar grandes cuadros ansiedad depresion conectate jajaja senal envivo aqui
9139,estoy cansada,es,cansada
9140,puedo estar triste por tener entrada para ver jajaja harry cuando acaba hacer sold out monumental hablame tenerla enorme,es,puedo triste tener entrada jajaja harry acaba hacer sell monumental hablame tenerla enorme
9143,amo senora mami patinaje que abrazos cuando siento triste dice buena que soy para animarme,es,senora mami patinaje abrazos siento triste dice buena animarme
9147,ayy dan unas ganas llorar,es,unas ganas llorar
9150,quiero llorar puedo,es,quiero llorar puedo
9151,para llorar,es,llorar
9152,cansada estoy pero manana veo jajaja bestie,es,cansada manana jajaja bestie
9153,guacamayo esta cansada asustada quiere pero puede porque tiene ala cortada que mania con usar jajaja los animales para hacer estos shows estoy muriendo pena secretada,es,guacamaya cansada asustada quiere puede cortada mania usar jajaja animales hacer show muriendo pena secretgala
9154,quien jajaja llenar vacio que dejo partida lam vida,es,jajaja llenar vacio dejo partida vida
9155,cansado compartir ciudad pais con esta gente,es,cansado compartir ciudad pais gente
9159,cielo nunca canso decirte que sos una persona extremadamente inteligente capaz lograr todo que propongas espero que ansiedad cada dia sea menos impedimento para vos puedas seguir creciendo mejorando sos una persona increible adoro,es,cielo nunca canso decirte persona extremadamente inteligente capaz lograr propongas espero ansiedad cada menos impedimento puedas seguir creciendo mejorando persona increible adoro
9160,tampoco recojo nunca muy cansado,es,tampoco recojo nunca cansado
9165,por favor sacad ahi jajaja guacamayo esta nerviosa esta intentando volar pero puede porque seguramente tengais atada esto maltrato animal hay necesidad crear espectaculo base sufrimiento ser vivo basta secretada,es,favor sacad jajaja guacamaya nerviosa intentando volar puede seguramente tengais atada maltrato animal necesidad crear espectaculo base sufrimiento vivo basta secretgala
9166,que peluquin triste tiene bloqueada,es,peluquin triste bloqueada
9168,tengo unas ganas llorar solo porque despues anos voy jajaja ver jajaja tini cerca show anos acompañándola viendola crecer yendo jajaja sus shows escuchando musica esa senora entendera jamas que que genera paz calma que,es,unas ganas llorar solo despues ano jajaja jajaja tini cerca show ano acompanandola viendola crecer yendo jajaja show escuchando musica senora entendera jamas genus calma
9169,pero sentias una conexion tipo pongo jajaja llorar con cierta canción quiero mazo,es,sentias conexion tipo pongo jajaja llorar cierta cancion quiero mazo
9170,estoy triste porque tengo era dosis vacuna todavia pude matar nada voy jajaja tener que esperar jajaja dosis como minimo supongo,es,triste dosis vacuna todavia pude imantar jajaja tener esperar jajaja dosis minimo supongo
9171,que pensaba que era atque ansiedad paso jajaja que dolia mas abajo del corazon asi que descarte ahora eso que estoy ahogando cada mismo nada esas dos,es,pensaba atque ansiedad paso jajaja dolia abajo corazon descarte ahora ahogando cada mismo
9172,triste enterarse que fallecio otro ser humano por pandemia pero personas como companero parece les importa mofa las personas que protegen cuidan del virus,es,triste enterarse fallecio humano pandemia persona companero parece importa mofa persona protegen cuidan virus
9173,cuando estoy cansada todo todo sale mal tus abrazos dan tranquilidad paz,es,cansada sale abrazos tranquilidad
9174,estoy triste,es,triste
9177,tengo cabeza cansada absolutamente todo,es,cabeza cansada absolutamente
9179,estes triste saludos,es,estes triste saludos
9180,ahora mismo apetece tengo que estudiar pero puedo voy jajaja suspender estoy triste agobiado rabia hacer nada puedas dkznckek,es,ahora mismo apetece estudiar puedo jajaja suspender triste agobiao rabia hacer puedomas dkznckek
9186,necesito calma paz gente buena con muy buena vibra estoy cansada,es,necesito calma gente buena buena vibra cansada
9191,hermanas poronga supone los paquetería deben saber dirección pongo nerviosa cuando llaman preguntando eso,es,hermanas poronga supone paqueteria deben saber direccion pongo nerviosa llaman preguntando
9192,padezco vista cansada del corazon cuento,es,padezco vista cansada corazon cuento
9193,quiero llorar con que acaba salir batir refiero jajaja brendan estoy literal borde las lagrimas amamos brendan,es,quiero llorar acaba salir batgirl refiero jajaja brendan literal borde lagrimas amamos brendan
9199,estoy preparada psicologicamente para llorar por facultad todavia,es,preparada psicologicamente llorar facultad todavia
9201,estoy cansado vida,es,cansado vida
9202,triste realidad del liderazgo social colombia,es,triste realidad liderazgo social colombia
