,Comentarios
7902,"Vou dormir mais cedo, pq te cansada"
7903,Me siento cansado y no se si es por lo q estoy haciendo o por lo q estoy pensando
7904,"Está noche probaré de tí... Besare Cada centímetro de ti, bajaré y de ti me empalagado te haré gemir jajaja cada paso sintiendo mi lengua que te quema y ansiosa estarás que llegue al lugar tan excitado dónde te haré de placer estallar..."
7905,"@togecidios Ay no, es que es triste que no me reconozcas"
7906,descubierta do dia adhesivo d cuaderno nn estanca agua. estou triste
7907,Tô tío ansiosa pro nascimento de Maria🥺🥰
7908,"tengo unas ganas de estar con rama mirando una peli y comiendo maleducada hamburguesa, quiero llorar"
7909,"@pierreiberville @AndympTVAS Ignorance classe du petit quebecois de fond de rango. Bien triste tre aussi déconnecté du vrai monde. Pte que voyager élargirait tes, horizon?"
7910,@luvesun POR FAVOR ME PODES OASAR EL VIDEO?? ME ENAMORE DE ESTE VIDEO DIOS QUIERO LLORAR ME ECHIZO
7911,@HernanGomezB @claraluzflores Pero al final los nuevoleonenses son los que votaron por ellos es lo que escogieron y se tienen que joder unos cuantos años así que ni llorar es bueno.
7912,"Eu no te sendo grosso, eu só te cansada."
7913,"@Soft_mxxn Confirmo, me dio ansiedad de verlo 😖"
7914,Nuevo síntoma de ansiedad desbloqueado 🙂
7915,@meedeirossss vei eu to ansiosa sério
7916,@hekypsilon nunca fui triste part.
7917,"el mal humor, amargura, angustia que manejo, me deriva jajaja aislarme del mundo por voluntad propia para llorar hasta nuevo aviso"
7918,@DSNbeca21 @diojodior nunca vou ser triste
7919,To cansada part
7920,"@_biyin_ Estoy triste y violenta, Biyín.):"
7921,Es hora de llorar por segunda vez de
7922,@SrtaWeranice Para distraerme y no se vea tan triste mi inicio de Twitter jajaja
7923,"@marlitolin @ChristianDiffer Lastimosamente jajaja si es cuanto tienes ASI TE trato. La vida de una persona no tiene precio pero en El Salvador TE cobran primero si tienes billetes TE atiendo si no te Dejan morir. Un hospital privados negocio, un hospital publico es UN rastro, ASI de triste 😔😔😔😔😔"
7924,jajaja triste história do cara q no vai pra academia pq tem verona atenc viu
7925,"@halo32003 Nmms yo quería hacerme jajaja eres, pero no ya no puedo, literal estoy vacío, llevo esta semana con suerte, jajaja ver si la mantengo para al menos un ruben días"
7926,@raqnery Um açougueiro seria frito um trabajo mais bonito. Muito triste morrer buscando um padre estético
7927,"dios le estoy poniendo la mejor ej serio pero tengo ganas de acostarme jajaja llorar. pero no quiero hacerlo, estoy intentando"
7928,@MamonasOficial to triste pq nao sou de spa denham pro rio e fatal essa pitchulinha aqui muito feliz!!!
7929,Estoy cansada de fingir que no quiero un/jajaja novia Hyunjinista
7930,@ffcsilveira Desesperado pra fazer parte do asunto kkkkkkk
7931,Nunca foi triste
7932,@DFNCLT91 Basta re triste
7933,"El conductor de la ruta me llamo preocupado jajaja preguntar por qué no había vuelto al ingenio, me dijo "" Yo no creo que la hayan despedido, usted es de las buenas y más esas "" y solo por eso voy jajaja madrugar mañana para ir jajaja la oficina. 🥺"
7934,@NolleyRcc basta voy jajaja llorar
7935,"Sei q tenho Deus cm, mas fico tío desesperada"
7936,"@ElbuenEchoes Buenas tardes! Y muchas gracias, ya veo, fua buena suerte pa y debe ser muy cansado leer tanto"
7937,Viendo alerta Aeropuerto: persona detenida comienza jajaja llorar o jajaja desmayarse después de enterarse que está detenida Yo: de El policía: la persona exagera el llanto o finge desmayarse como estrategia Yo: y quién se cree este sr para invalidar las emociones de otra persona? 😠
7938,Jodidisimo para el nerd promedio ir jajaja casa nisei y que le atiendan puras minas preciosas super amables y que no les de un ataque de ansiedad o se les baje la presión
7939,"los traigo una caja vacía, como mis esperanzas ” punky me representa de #elconquis1"
7940,@atofalhohahahah Levemente preocupada com o naipe da sanidad dos meus amigos kkkkkkk
7941,nossa eu te muito cansada nao consegui parar um minuto hoje
7942,mire me salvar y llorar por algo INEXISTENTE
7943,Mini break por aquí para llorar que en tres días ya he rebasado el total de horas semanales que me pagan 🤡🤡🤡🤡🤡
7944,@wonisblog más tem de eu te triste: (
7945,@carguinob Yo tampoco. estoy cansado de ver delincuentes que mandan en las calles rosarios
7946,nossa me tiro dos of dique triste
7947,"@T3AM_RIBBON Eu vi pontem assim que said o tradujo, sou fe dele e é triste ver ele pensando assim só espero que ele melhor 💗"
7948,"Es triste ver jajaja policía con las manos atadas sin poder responder al hampa. La siembra de odio rinde frutos. Si un policía mata jajaja un delincuente va preso, si el delincuente lo mata, hasta libre sale."
7949,Fico mesmo triste com isto
7950,"estar triste ya debería de sentirse normal, pero aún lástima."
7951,termine the owl house to triste
7952,@X6Topito Ando nervioso por pedirte señora scrum
7953,"@barbsvader Que triste por favor, señor córrase, no puedo seguir viendo como da lástima."
7954,"Tengo que empezar jajaja estudiar y me ansiedad de pensarlo, esto me pasa por nacer sin talento."
7955,@Brunnaroig @jeskmendss ansiosa pelo reencontré dos indica
7956,"Que cansada estoy, y apenas es miércoles. 🥲"
7957,@alexialetras E triste
7958,no sé si llorar o estar feliz
7959,"Hoje eu te com cómica, triste e sem cabeza pra estudiar. 😩 Então me dei ferias"
7960,TO MT TRISTE
7961,"@Darth_Maus mi mamá no parece baño de gasolinera, mejor deberías ponerle atención jajaja tu hija, que triste vida qué sepa que su madre es una tipa que tucker jajaja su esposo con el kunai, y prefiere bailar tubo que darle de comer, jajaja parte de que no tiene sentido común y se hace la victima"
7962,QUEM TA TRISTE NÃO TA MAIS
7963,ni mi depresión más fuerte me dio tantas ganas de matarme como este tipo
7964,@ByRubi9 Deja de llorar nosotros perdimos con 1 menos y no lloramos gg por ambas partes igualmente
7965,Eu te TÃO cansada
7966,Ler isso me dixon triste
7967,Quando eu conto jajaja história do meu pt tras pessoas sempre dio rosada como se fosse jajaja coisa mais engrasada do mundo alguém quise morrer em coma alcohólico. Contei pro Caio pontem e ele quise parió um filho e foi jajaja reacio de absolutamente todas as pessoas. Fico triste de
7968,@szafode tenho uma notícia mt triste mano
7969,dique medio triste por um motivo esta ai ar to triste por ter fijado triste
7970,a me rend triste au fond mais c ’ est seulement seulement bien pour moi
7971,"Tinha esquecido como era viajar do RJ pro Maranhão de tribus 😩 3 dias de viaje, cansada demas!!!! 🥲"
7972,@dance_prla Le plus triste c ’ est qu ’ elle n ’ jajaja aun porche capable de roger le probleme
7973,"#HarryStylesLoveOnTour #HarryStyles Si alguien me vende una entrada para Harry en #River2022 le doy mi VIDA, LE IMPLORO, LE SUPLICO QUE ME VENDAN UNA ENTRADA, ENCERIO ME ESTOY MURIENDO EN LA DEPRESIÓN,"
7974,muito muito triste sinceramente
7975,"@_biyin_ Triste escuchar eso pero es mejor que no hubieses ganado, para no tener que aguantar tanto inútil"
7976,dios que ansiedad de mierda
7977,"@IndirectasRock Hoy me paso, cansado de la cantidad de cosas que poste una una detrás de otra la silencie como no es dañino no da para un bloqueo de."
7978,"Tô cansado de contar como foi o meu dia mas 6 vezes diferentes, te precisando apostar"
7979,redecore KKKKKKKK pfff perdi jajaja oportunidad só dique triste
7980,"@verysweetmango @julianagoeswild @ana_roux_quista @euliliankelly @manubarem Nossa dique tío triste que compre dois terrenos em terras nada fructíferas 😔 días veia batuta que no tem o que fazer, tem algo pior????"
7981,eu adoro transiges q mudar de ropa. mas fico cansada só de imaginar o trabajo q de
7982,"mañana temprano tengo una prueba, q miedo seguro m pongo jajaja llorar d nervios"
7983,"Pues 5 dias para los 30, vaya depresion"
7984,"Eu te tío cansada, tío grapada..... os dias de puta esto long de chegar ao fin?"
7985,@Leledanajwa @Najwa_Nimri MADRID VACIO JSSJAKAAKKAALA LELE ME MEO AYUDA
7986,Enero me esta haciendo llorar la billetera
7987,"así que estoy asumiendo que tal vez no pueda ir al concierto de louis y toy triste, sale llorara"
7988,#parjupidemie #parjupiter Arnaud Montebourg reconoce à sa candidatura tres triste pour lui il passer vuelques soirée tales charantaises au bord du feu pros de sa chemin
7989,Es muy triste ver que todavía hay gente que aún no cree en los datos y la evolución de la ciencia. Están en todo su derecho de expresar su inconformismo pero en pleno siglo XXI tenemos jajaja la mano tanta información que algunos todavía no aprovechan.
7990,"eso fazendo eu ver q mar de amor foi reventada mesmo e estou muito revolcada e muito triste desolado desde q sube disso, entro muito obrigado tá! Vcs so incríveis, N tom o mínimo de empatia pelas pessoas e o pior é que disse q tava me asustando e queria ver apenas os consolidados"
7991,@Insomnio_CL Atrás
7992,nunca había estado tan triste por un concierto
7993,"@wbpictures_br Ansiosa p asistir no cinema, 😍😍😍😍😍"
7994,jajaja giselle......... eu to muito triste
7995,"Por más que se vista de seda, será una triste ordinario, con poder comprado."
7996,Me cago en tu madre cebellina de felicidad jajaja depresión chupaverga
7997,@Gomees87 Kkkkkkkkkkkk dia todo te cansada já
7998,"@guichaveiroo Pophouse é de uma amiga minha, ela é mt legal e as coisas q ela faz so tudo perfecta, entro no espero menos que algo incrible desde lugar, e vai inaugurar dia 21 né (eu n vou estar lá triste) quem vai tocar é jajaja carol boniato q toco na afrodisiacos e na podria ent mt bom"
7999,@corekxk Sabemos que estás triste pero no tienes que desactivar
8000,"isso aqui é uma das coisas que me deiva mais triste, em questo de horas va deiva de ser importante e vira um estrano qualquier, as pessoas so descartadas tío facilmente..."
8001,"Incrível como realmente te me sentido mais cansado hoje por causa da academia. Mas aquele cansado costoso, sonido bom."
8002,"Breve storia triste Mi sirve zack in de, gli ho dato il numero di axel È finita male"
8003,"Eu nunca fui triste, hoje recibi um olham que dique até desestabilizado."
8004,"@irainexpugnable @CdaBallesteros no estes triste, te abrazamos"
8005,Muito ansiosa para asistir ao episódio 6 de Mirror: jajaja Tale of Twin Cities. Eles já veo se reencontrar 🥺
8006,@elmoi35348742 Es muy triste
8007,""" 🍁 “Hago mi camino cansado y polvoriento, y detenida y dudosa queda tras de mí la juventud, que baja su hermosa cabeza y se niega jajaja acompañarme. ” - Hermann Hesse """
8008,jajaja volta é tío triste
8009,Hace mucho no me reía hasta llorar
8010,cometer jajaja pensar em Evelyn Hugo e agora te triste
8011,"Talvez se eu no tirese comprado jajaja sair fuertemente, dando jajaja vida desde os 15 anos, hoje eu no fosse tío cansada"
8012,Ai ai jajaja linda tenue entre amar os dois e estar cansada desea merda...
8013,Ninguém era triste quando o DJ Henrique de Ferraz compro uma moto.
8014,"vi uma discurso seria sobre ter filho no facebook e agora to triste e desanimada porque eu realmente gostaria de viver essa experiencia, mas acho que nunca vou conseguir isso, no consigo nem sonar em criar uma crianza com todos os traumas que crei na infancia"
8015,Só existe um culpado jajaja PorrA da row esses desgraciados fdn Imagina Byul irritada e triste pq eles estragaram 😣
8016,"Gente, vou pedir para voces irem denunciar meu Instagram que foi hackeado, eu desistir da ideia de recuperar, e o valor que me cobrara também no compensa muito, eles mudara tudo, entro é muito complicado para recuperar, dique triste apesar de ser só uma red social"
8017,Malditas películas de Disney que me hacen llorar
8018,Triste que no vou ver jajaja gata no fin de semana
8019,"nutrida de sofoca hoje, nunca fui triste"
8020,estou triste por no morar em sp
8021,yo viendo jajaja mi hermana llorar pq ya llego jajaja la parte angosto d la panic q le dije q leyera
8022,"Estoy cansado de decir que eres un referente de tu sector así que voy jajaja ilustrarlo con unas bonitas imágenes de Google Imagenes. Felicidades hermano injustificado, eres casi un madurito."
8023,@nathalieguibert C ’ est bien triste et d ’ mutante plus triste que c ’ était evitable. Si ca pouvait persuadir certain au mins a ne serio pas vain.
8024,Estoy re cansada macho
8025,"@_biyin_ Es triste saber que te da alivio, cuando cualquier persona tiene el derecho de ilusionarse y querer un reconocimiento"
8026,"aquela sensato de gustar tanto de conversar com uma pessoas mas ela nao gustar de conversar com voce eh triste ne, mas tudo bem)) mentira"
8027,"@IronIlluminati se ríe algo nerviosa, se sentía como su madre con su padre - Muchas cosas... Me haces sentir calidez"
8028,@eibrancadeneve Triste 😭
8029,me estoy desangrando hace dos días con un dolor de útero que literalmente me hace llorar y tienen el tupé de preguntar porqué estoy de mal humor
8030,@yoonienojado @_mnxjin HQHZJD NAO NAFI QUEDTAE CON EL ICON SIN LLORAR
8031,Como que casi son las 8 y media pm cansado de estar perdido temporalmente
8032,Só agora note que o SBT tem estado mais perto da Band do que da Record na media diaria Triste fin do canal 11
8033,"tava levando mas coisas pesadas pro meu quarto quando rolo o seguiste diálogo: eu: no aguanto mais, te cansada me: va é guerrera! eu: no quero ser guerrera me: va é uma guerrera! igual jajaja xena eu: sabia q ela era gay? me: ida? só pq ela é gay no pode ser guerreira???"
8034,@VENEZUELAPEZ Que triste las vac haciendo su trabajo
8035,@LucasGasparell1 Akakakkaa triste
8036,"O MOLETOM DE PAPER GIRLS E jajaja TOUQUINHA DE UNICÓRNIO EU SOU TÃO TRISTE, FINA STRAZZAAAAA"
8037,"@marlovejin1 @NATY88180382 estres @ConCata Si, si, ya lo vi en su momento.. pero el del drama no está nada más tampoco.. y me gusta tanto... sobre todo él...😍😍🥰🥰😭😭 Era rompo y madre mía si me hizo llorar...🤣🤣🤣🤣🤣😭😭😭😭😭😭😭😭😭"
8038,"más que vem te tío tocada em entrar na academia, te até ansiosa"
8039,eu te triste por um motivo mas eu no quero ficar triste por esse motivo entro estou mentido para mim mesmo que eu no estou triste por esse motivo e sim por outra coisa
8040,@PedroScooby ansiosa pro follow TEAM SCOOBBBY
8041,te tío cansada
8042,@_biyin_ Es muy triste pero si: (
8043,"@AgustinFrascare @Clippy97693796 @caomse1 @SilMercado @BarreraGusOk Si, pasa. Cómo pasan muchas cosas que nos ponen en este triste lugar. Perdón si no resigno lo que debe ser por lo qué pasa ” Y ESTÁ MAL. La calle ” nos tiene cada vez peor, no entiendo porque tomarla como conceptualización o criterio válido."
8044,preocupada demas
8045,eu te tío triste … eu só fico dentro do quarto and te em casa? sim. mas ser brigada jajaja ficar dentro do quarto tá me dejando triste
8046,"Uno resultó ser un capullo, pero el otro por ahora me dedica tiempo. jajaja llorar jajaja la calle de la llorera, hombre."
8047,"@narvalsincuerno triste, por un momento pensé que era guapo"
8048,"vou cantar strogonoff hoje, eu nunca fui triste"
8049,"@AnthoRedPill @FlatNoors @Fettuccino2 @jeansebback @Nain_Portekoi Et bien ser, je prenda mon cas et je fais une généralité. Et a bloque apres avoir dit une énormité. Triste"
8050,"Enquanto tem gente preocupado com minha vida eu to corriendo atrás dos meus somos, coisa q m anda fallando da vida dos outros n faz e continua na mmm vikinga de merda"
8051,"ver jajaja best sábado, nunca fui triste"
8052,Estoy triste
8053,"@vvirgod sempre fui triste, queria acompanar de cedo logo pq jajaja tarde estare pasando mal"
8054,Triste isso 😟 @jairbolsonaro
8055,@YENAEMO EU MT TRISTE FALANDO AGR P MINHA MÃE Q PRETTY BOYS NÃO TINHA STAGE 😭😭😭😭
8056,"@JuliaCerqueira0 Aii gradas jajaja Deus, Júlia. Já estava jajaja ficar preocupada. Fica bem, linda de"
8057,"la verdad no me siento triste por no poder ver jajaja harry porque se ve lo podré ver la siguiente ocasión que v … — amor, yo lo conozco desde que estaba en d y después de 11 años lo voy jajaja ver, tranqui, tu tiempo llegará 💗"
8058,@mezaliliann_ Triste
8059,"@MartaSoulWoman Que triste es Hector, doble moral …. Pa ’ tu casa! 😂😂😂"
8060,"@Machoal52421271 @20kakarot20 Qué triste escucharlos, no tienen argumentos por lo que se dedican jajaja ofender. Estudien, lean, aprendan jajaja discutir con bases no con cuentos, por eso estamos tan mal en este país. Ya no pienso perder más el tiempo con ustedes, dan pena."
8061,que ódio q tenho de ficar triste por bestia
8062,"POR FAVOR, Ansioso por esse dia"
8063,Cansado de siempre lo mismo
8064,@AbatasteST Dios que sensible ando... Volví jajaja llorar 🥺🥺🥺. Diosito que grande es tu gracia de Ella está haciendo lo que ama de
8065,Siempre les voy jajaja llorar jajaja mis nenes
8066,@lwnzi ansiosa para os stories de decorado (sem nada brega)
8067,ansiosa
8068,Volvió la depresión y la ansiedad 🥲
8069,"Triste, 7 famosos deixaram de me seguir. O jeito foi dá o truco com juro e correcto monetaria, ou sea, ainda foram bloqueados. Boa noite!"
8070,"@MiaAthalar Eu tenho jajaja boca grande, quando vi ele todo preocupado queriendo falar comigo já fogueo jajaja real. Kkkkkkk"
8071,"Cuando necesitas jajaja la gente todo el mundo se esfuma de la nada, nadie queda; que triste."
8072,to ansiosa p ir reinar q q isso
8073,No sé si tengo COVID o un ataque de ansiedad intentando sacar su mayor expresión
8074,"@BeautyOfertasMx Te entiendo, yo no como mayonesa y me ha pasado y es como de "" te valió v "" Y luego uno triste y con hambre 😭"
8075,"Triste por la cancelación de Maceo Plex: (pero emocionada por el nuevo diseño de neon, que ganaras de ya ver el escenario 🤤"
8076,"Já comi + de medio brigadier mano, pared de me dejar triste 😭"
8077,Triste
8078,Eu n quero chocar mais eu n quero sobre mais eu n quero ficar triste maja
8079,¿Llorar por vos? Para eso tengo plata y el güevo grueso.
8080,@ismaelbeca mais ansiosa q os própios formando 🥴
8081,"- ¿depresión? No, no sé de qué hablas, estoy bien * Saber que Bakugou no quería dormir con Kirishima porque tenía miedo de lastimarlo *"
8082,"iba jajaja estar triste pero no puedo es momento de este temen, magic wing 🧚‍♀️"
8083,@nemoelnavajas @itziarmartiin_ sin llorar
8084,entre jajaja la farmacia y sin querer tire una plantita cuando abri la puerta y LLORE de la verguenza mi ansiedad social en todo el esplendor
8085,Tô mt ansiosa para minha formara 🥲
8086,minha me troupe aquí p mim se fui triste no me libro
8087,"@DreaMValorant Kkkkk acabara com o sustento do Racista que dia triste "" Todos so perfectos ninguém nunca error "" o erro do cara é crime"
8088,@cortlandsgirl Mds! E agora va me fez ficar triste! Ai.. de
8089,"O que eu te cansado é surreal, hoje eu trabalhei igual um filho da puta jesse sol do caracho o dia todo"
8090,@nsfwfm7 tu n quer amiga cmg??? triste
8091,"no estoy cortante, sólo estoy triste... perdón"
8092,ay me largue jajaja llorar re dramatica pq cada vez que vienen mis fans nunca los puedo ir jajaja ver y mi mamá me dijo tranqui capaz podes ir esta vez CON QUE PLATA FRANCISCA SI SOMOS POBRES 😭😭😭😭
8093,el #me sale vacío asiq tuve q activarlo las notas jajaja todos los q vinieronLDBXLCJFKFJF m va jajaja explotar el celu
8094,q triste
8095,Pense lo mismo. Vamos jajaja llorar jajaja mares. Y H posta va jajaja sufrir mas 😪
8096,"estoy triste, muchas mutuas de y estaban confiadas de q y entraba en ese "" fechas nuevas "" y me ilusioné, igual q en el 2018, esperando, esperando algo q jamás llegó, porque en este país no mueven UN pelo para traer jajaja artistas pedidos. lo ÚNICO bueno q van jajaja hacer es traer jajaja lou"
8097,Estoy muy triste 😭
8098,"cabello bagunçado, cara de cansada... mas te compensa esse carinho costoso 🤍 te amigo de meu gradúe"
8099,Meu deus eu te muito ansiosa jajaja
8100,no sei se estou mais diente ou mais triste
8101,"“La felicidad es la búsqueda constante y el camino, jajaja pesar de las limitaciones. Mi manera de ser feliz es tratar de estar en paz conmigo mismo y con la gente que amo; de alejarme de cosas que me causen ansiedad. ” @bennyibarra:)."
8102,"N é nenhuma navidad q Paula gusta MUITO mais do Neném q ele dela. O cara aceita o carinho dela, mas ela NUNCA tá nos planos dele. Triste, mas vid #QuantoMaisVidaMelhor"
8103,como deve ser triste jajaja vida da pessoas q nao mora em condominio e n tem treta pra se entrever
8104,Tomei um copa de suyo de buena Nunca fui triste
8105,q risa me meO OIGAN HOY ME HICE PIPI LO PUEDEN CREER? ESTABA Q ME MEABA Y ME HIVE UN POKITO Q TRISTE MI VIDA Q VERGÜENZA
8106,"@blurry77face @dsctorsleep Essa merda, sou muito ruim, eu entro triste e saco pior do que entre"
8107,foragido soul to triste pq
8108,@waraujo88 La depresión me motiva 😂
8109,cansada desea merda te
8110,@jeonchurch @gatosaleatorias to muito triste ok
8111,@malenyvazz Oioioioi De qué estás cansada? Imagínate yo xd
8112,Quiero encerrarme jajaja llorar 😭😭😭😭😭
8113,jajaja triste vida de quem é fe donde personaje secundário/jajaja que aparece 5 segundos por episódio
8114,"@mackkjj Nossa mano eu te muito triste Ele até roda, mas super aquele e faz mal pra ele"
8115,"Tengo unas ganas gigantescas de llorar y gritar hasta quedarme inconsciente.... Y no tengo fuerzas para nada, solo puedo estar así:"
8116,que soy muy sensible que me he puesto jajaja llorar
8117,Eu te muito cansada hoje. Meu pai amado
8118,"Mis papás hablándome y diciendo que yo eligiera todo sobre la cremación de mi perrito para que no me vean llorar, lo que no saben es que mañana estaré seca de todo lo que voy jajaja llorar de sólo verlo dormirse para ya no despertar más, me duele mucho &#124; &#124;"
8119,"jajaja oddly volando no mmm dia q tem o dj roca, sempre fui triste."
8120,nunca tive tío ansiosa pra uma sandalia chegar 🥵
8121,Triste eu n era eu era puta da vida pq n aguantaba mais todo mundo cantando isso
8122,descubri q essa foto existe ar to mío mío triste ming va eh tao tao meu 😭
8123,Ansioso demas
8124,queria ser mais presente na vida das minas amigas mas ultimamente te tío cansada que nem raciocinio nada directo
8125,Amanhã ir no rodio de sushi e tomar um chop alai nunca fui triste
8126,MDR c bon maintenant sais ce que dois pas faire pour pas etre triste
8127,É eu no vou no show do Harry... Não tem nem essa de comprar dedos pq no confio... Eu te muito triste.
8128,voy jajaja llorar durante las canciones de louis
8129,Cansada de la vida pero feliz
8130,La puta depresión culpandome otra vez. Vida hijueputa
8131,"[19/01/2022 20: 20: 35] Junior: Cê podia arruga um enamorado legal mesmo, da uns roles com nós [19/01/2022 20: 20: 51] Andressa Avelar: agora eu dique triste 🥲🥲🥲🥲"
8132,Llorar de la nada no esta bien
8133,espero q esse marketing da anita n dure muito tempo já estou ansioso pela música
8134,@JhuEXOh jajaja mí me da ansiedad
8135,"jajaja hailey ta apostando as fotos dela tudo sem legenda, fico desesperada"
8136,@rutheyss @Harry_Styles eu sou mt feliz e ao mesmo tempo triste jajaja venda vai comezar jajaja amanda e provablemente vai estar rapido se tirese sido anunciado antes dama tempo de me programar eu to chocando real
8137,Triste quere ir na academia mas n tem mesa 🤦🏽‍♂️
8138,dios q nerviosa me pone diego es re pesado encima leon se pone re pelotudo dios violenta quedate con maxi
8139,ansioso demas pra matar jajaja saudade amante
8140,Hoje escolar minha roupinha pra galeria sabado de ansiosa pra ver amigos
8141,Que triste me pone pensar tanto
8142,Estar triste es más fácil en first class
8143,jajaja ’ suis trop triste franchement
8144,To preocupada já 😔🤦🏻‍♀️
8145,@milagrossgraff Laaaa que manera de estar aislado deja jajaja lo mas triste es que nunca me agarro comida
8146,"Ficar triste sim, mas nada me bala Acho que tem mas por aí né? de"
8147,Cuando me siento triste me voy jajaja cortar el pelo y me visto bonito. Es mi forma de conmutar un sentimiento negativo por uno positivo.
8148,"@hfloret Salgado é encantador de corredor desesperado. O Flamengo vai ter SAF? O Galo vai ter SAF? Palmeiras vai ter SAF? Mas Salgado que no tem capacidad de retornar para jajaja série jajaja, descubrir jajaja roda. kdk. Vai dar certo. jajaja garantia é Salgado, Adriano Mendes."
8149,Tô surreal de cansada
8150,estoy tan cansada que ya ni me enfado
8151,"@Rosariotres No voy jajaja llorar, no voy jajaja llorar, no voy jajaja llorar..."
8152,jajaja triste vida do trabajador que escuece de tirar jajaja carne do freezer antes de sair pro trabajo
8153,@Favelao1973 @botafogo_loja @leandroestrela @Camisa7Botafogo Triste né? Os times no liga muito pros fps no Brasil. Quase denham site oficial e site do sucio presta ou é minimamente bem feito/bonito
8154,"WEYYY, COMO QUE UNA DE MIS MEJORES AMIGAS SE VA IR DE LA CIUDAD??!!!! Ptm voy jajaja llorar"
8155,te tío triste que eu no viu conseguir ir pro show no aguanto mais chocar
8156,to muito triste
8157,@MiguiTR sigue me la vi hace un año aprox y me puse mu triste
8158,@ElgZineo Nossa o pior é que eu pesquisas E jajaja OMS NUNCA disse isso Eu to muito triste que exatamente pessoas assim
8159,"como estas, bien pero triste por una serie gay"
8160,"me puse triste porque no podré ir al concierto de harry en colombia, no me quiero ni imaginar … #BTS_Butter #Butter #BTS @BTS_twt"
8161,Tô ansiosa pra ir amante e conocer Julia e ver ninho
8162,la forma en la q estoy cansada de vivir? terrible como no aguanto mas
8163,"Necesito alguien, para ir jajaja tomar un café que me cuente cómo le va, que inquietud tiene y que seguido de eso, me pregunte y vos, cómo estás ” y ahí ponerme jajaja llorar y que me abrace"
8164,to triste
8165,Vai sair em uma audiencia de custodia. Assim funciona o judiciário. Triste.
8166,@sophiagpgp @lostman_oficial @rockdsmith36 @urso_tranquilao @Smurf_SP @ChupadorV @sussano_GRU @crazysex22 @FAcompanhantes @Davidson40ricar @Alexandre_Xofic @MrPassarinho @oliveira76ers @oxnar_sex @safadinhoSP1982 Ansioso já
8167,"@rebocchinatr se non me li lavo 7 volte non riesgo jajaja dormire sereno, riesgo jajaja fare eccezioni solo quando sono in compania o quando non dormí jajaja casa mia pero vado jajaja lento molto ansioso"
8168,"estoy triste, no me hago responsable de lo que coma"
8169,@apenasyasmim Isso q é triste kkkkkk
8170,@Tata_Montgomery @mariadelff Tô triste... tchau
8171,"Tão cansada essa semana, onde eu encesto eu duro"
8172,Crisis de ansiedad que siento que no me dejan ni hablar 💔
8173,100% triste neste momento pq nunca terri denham producto da linda Harry Potter da Le Creuset 😢
8174,@babyaetchecopar Agobiado.
8175,me chocan los outfits desperdiciados no solo por que la ropa se pone triste sino porque me veía deliciosa bai
8176,@RuiRioPSD O Yeti também está triste com jajaja situado @RuiRioPSD: (
8177,Estou todo dolorido do reino de pontem.. Cansado do Gabriel sempre acaba com jajaja minha vida cara!
8178,Un poco cansado
8179,Todo dia eu tendo que falar pra mim misma que eu só te cansada e no que eu to queriendo desistir de tudo
8180,"golpista Tenho amigas que foram e disseram que foi o melhor roll da vida delas, em questo de local, organizado, bar … eu te bem ansiosa e com mt expectativa"
8181,to cansado: (quero sair pra me divertir
8182,"te cansado de ser sempre o bom modo por tudo, pra tudo, e o retorno é sempre merda pra minha vida."
8183,más eu to tío triste
8184,"Caramba, como minha vista é sensível à claridad. Triste que nunca enamorare o Edward Cullen."
8185,"O Globo play tratando, pois jajaja nossa jade vai entrar e todo mundo tá ansioso pra ver jajaja sensato do momento entrando 🗣️🗣️"
8186,"Y para acabar este día me acaban de avisar que me toca exponer primero en el laboratorio un artículo, pm y la vez pasada lo hice horrible, quiero llorar porque no quiero exponer"
8187,@_biyin_ triste pero cierto de
8188,Pah de verdad le festejan eso?. Estoy agotada.
8189,@brightwinstyle Estou ansiosa por ver eles os dois no era 💜🤗💜
8190,@SugaCabrera @aaaalee6 Omg creo que sí que tengo ansiedad guau
8191,@rsrsgms to tao ansiosa pra estar assim
8192,Triste fin de me e fila 😭#Quantomaisvidamelhor
8193,yo viendo jajaja la secta dame llorar por sol jajajjajaajjjsjsjsjssjkkkk
8194,"@hgejogador19 te cansado mano, vou dormir"
8195,"ansiosa p v jade entrar, te juro"
8196,Tres datos y su puta madre voy jajaja aprobar. -En 2016 cuando salió el trailer del Tlou2 me puse jajaja llorar tan fuerte de la alegria que mi mama lloró conmigo. -Mi record de pajas en un dia esta por las 17. -Cuando era chico me explotó una bombilla en la mano y me dejó mal un dedo.
8197,"HAHAHHAHA "" VACÍA COMO MIS ESPERANZAS "" #elconquis1"
8198,jajaja vida foi triste cm
8199,"Como malaria que en el próximo partido en casa el equipo jugara en la carta y en el Benito Villamarin poner unas pantallas gigantes para ver el partido todos los aficionados dejando jajaja la carta vacía. “El ético, Betis, siempre en su casa. ” @RealBetis #Betis #RealBetis"
8200,fico brincando fallando de chipre imaginario agora to triste e com dor de cabeza
8201,kiero llorar pero paso
8202,"Essa época do ano é uma tortura para mim é todos que no corte esse programa BBB. As redes socias só salam disso, que triste."
8203,"no, mas te ansiosa pra ler o novo capítulo de who made me princess, o lucas tá maravilloso"
8204,@arturogoga Ayer en la noche el Gobierno muy preocupado por un tuit de 30 seguidores. Mientras que desde hace 4 días hay un derrame de petróleo en el mar peruano siendo el peor desastre de contaminación de los últimos años.
